Rank,First Name,Last Name,Time,Event Num,Event
1st,Conor,Evans,12.37,S1E6,The Nagoya Big Double
2nd,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
3rd,Tanya,Lee,12.68,S1E10,The Moscow Cup Sponsored by GAN
4th,Eric,Graham,12.8,S1E7,The Shanghai Cup Sponsored by GAN
5th,Kimberly,White,12.86,S1E7,The Shanghai Cup Sponsored by GAN
6th,Stephanie,Cain,13.3,S1E8,The Ho Chi Minh City Cubing Invitational
7th,Tanya,Lee,13.32,S1E11,Season 1 Championship in Manhattan
8th,Tanya,Lee,13.44,S1E9,The Manchester Cubing Invitational
9th,Tanya,Lee,13.45,S1E8,The Ho Chi Minh City Cubing Invitational
10th,Tanya,Lee,13.49,S1E6,The Nagoya Big Double
11th,Tanya,Lee,13.51,S2E3,The Manchester Big Double
12th,Tanya,Lee,13.55,S2E5,Bangkok Open
13th,Antonio,Valencia,13.82,S1E6,The Nagoya Big Double
14th,Tanya,Lee,13.82,S2E3,The Manchester Big Double
15th,Robert,Young,13.83,S2E3,The Manchester Big Double
16th,Antonio,Valencia,13.96,S1E9,The Manchester Cubing Invitational
17th,Conor,Evans,13.96,S2E4,The MoYu Louisville Cup
18th,Ryan,Stoyko,14.0,S2E5,Bangkok Open
19th,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
20th,Robert,Young,14.05,S2E5,Bangkok Open
21st,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
22nd,Tanya,Lee,14.07,S2E2,The Wuhan Open Tournament in China
23rd,Alyssa,Murillo,14.1,S2E5,Bangkok Open
24th,Jacob,Garcia,14.14,S1E6,The Nagoya Big Double
25th,Tanya,Lee,14.2,S1E10,The Moscow Cup Sponsored by GAN
26th,Maggie,Silver,14.21,S2E4,The MoYu Louisville Cup
27th,Cheryl,Jackson,14.22,S1E10,The Moscow Cup Sponsored by GAN
28th,Robert,Young,14.25,S2E4,The MoYu Louisville Cup
29th,Bradley,Cross,14.33,S2E1,The Japan Open in Tokyo
30th,Bill,Meadows,14.36,S2E5,Bangkok Open
31st,Lonnie,Green,14.38,S2E5,Bangkok Open
32nd,Cheryl,Jackson,14.43,S2E2,The Wuhan Open Tournament in China
33rd,Tanya,Lee,14.47,S1E8,The Ho Chi Minh City Cubing Invitational
34th,Antonio,Valencia,14.48,S1E6,The Nagoya Big Double
35th,Cheryl,Jackson,14.5,S2E4,The MoYu Louisville Cup
36th,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
37th,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
38th,Cheryl,Jackson,14.52,S1E5,The South Bend Open Tournament in United States
39th,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
40th,Tanya,Lee,14.59,S2E5,Bangkok Open
41st,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
42nd,Eric,Graham,14.63,S2E3,The Manchester Big Double
43rd,Tanya,Lee,14.64,S1E8,The Ho Chi Minh City Cubing Invitational
44th,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
45th,Conor,Evans,14.67,S1E10,The Moscow Cup Sponsored by GAN
46th,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
47th,Jacob,Garcia,14.7,S1E7,The Shanghai Cup Sponsored by GAN
48th,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
49th,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
50th,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
51st,Douglas,Robinson,14.77,S1E5,The South Bend Open Tournament in United States
52nd,Tanya,Lee,14.78,S1E8,The Ho Chi Minh City Cubing Invitational
53rd,Cheryl,Jackson,14.84,S2E5,Bangkok Open
