exp_score,25.0,2.0
consistency,2.0,0.25
First Name,Last Name,Age,Expected Time,Consistency,Best Placing,AVG Placing,Num Events,Championships,Wins,Podiums,World Records,Season Finishes,Best Single,Best AO5,Best AO5 Times
Emerson,Tichenor,20,N/A,N/A,3,33.9,21,0,0,1,1,N/A,15.18,17.93,"[17.61, 18.26, 17.91, 17.41, 19.64]"
Daria,Buchkovsky,20,20.75,2.13,1,26.1,21,0,1,1,3,N/A,14.51,18.41,"[16.77, 20.51, 17.77, 22.1, 16.95]"
Maggie,Silver,20,19.59,1.69,1,8.7,22,0,2,6,5,N/A,14.21,17.84,"[17.46, 21.1, 18.87, 17.19, 17.04]"
Ryan,Stoyko,20,20.73,2.45,4,30.8,21,0,0,0,6,N/A,14.0,17.99,"[20.75, 18.36, 17.97, 16.93, 17.64]"
Conor,Evans,20,20.87,2.93,5,42.6,20,0,0,0,5,N/A,12.37,18.67,"[18.3, 24.57, 12.37, 15.25, 22.46]"
Barbara,Thomas,32,24.37,2.16,69,210.5,6,0,0,0,0,N/A,18.9,22.74,"[22.64, 23.71, 18.9, 28.73, 21.88]"
Kimberly,Cook,28,23.09,1.91,55,157.1,12,0,0,0,0,N/A,18.92,21.99,"[21.09, 21.11, 22.5, 22.37, 24.55]"
Robert,Young,25,20.22,2.43,2,16.0,22,0,0,5,10,N/A,13.83,17.57,"['DNF', 13.83, 18.55, 18.42, 15.73]"
David,Cook,28,24.4,1.79,101,201.0,12,0,0,0,0,N/A,20.27,22.61,"[21.61, 22.79, 26.78, 23.44, 20.27]"
Jordan,Chavez,29,23.77,2.18,117,207.8,12,0,0,0,0,N/A,19.25,23.05,"[26.85, 21.15, 21.37, 22.83, 24.96]"
Eric,Young,28,25.01,1.82,242,312.6,12,0,0,0,0,N/A,21.02,25.18,"[24.75, 27.91, 23.84, 24.08, 26.71]"
Jeanne,Zimmerman,31,26.53,2.6,200,301.9,12,0,0,0,0,N/A,19.85,24.83,"[23.56, 23.58, 26.66, 24.25, 28.29]"
Belinda,Carter,28,23.67,2.06,107,173.5,12,0,0,0,0,N/A,20.04,22.52,"[24.1, 23.57, 21.71, 20.69, 22.29]"
Mark,Williams,30,21.52,2.12,15,67.3,18,0,0,0,1,N/A,16.32,18.48,"[17.27, 17.89, 19.43, 18.12, 22.39]"
Nathaniel,White,31,21.29,1.72,9,41.9,18,0,0,0,0,N/A,15.77,19.86,"[18.0, 17.08, 19.79, 21.78, 22.03]"
Heather,Ali,26,22.55,2.17,22,84.1,14,0,0,0,0,N/A,17.88,20.48,"[21.74, 19.24, 21.06, 19.55, 20.82]"
David,Mcgee,25,24.62,1.96,119,232.0,12,0,0,0,0,N/A,20.96,23.31,"[23.71, 22.86, 22.86, 23.37, 27.42]"
Kayla,Bean,25,27.7,2.07,298,367.8,12,0,0,0,0,N/A,23.59,25.88,"[23.72, 26.62, 24.34, 28.85, 26.68]"
John,Fisher,29,25.26,1.67,161,267.9,12,0,0,0,0,N/A,21.04,23.87,"[25.81, 23.79, 24.3, 23.53, 21.2]"
Tracy,Kelley,30,21.08,2.34,7,33.3,20,0,0,0,2,N/A,13.95,17.99,"[19.93, 16.44, 20.68, 16.45, 17.59]"
Elizabeth,Johnson,22,24.44,2.41,116,239.7,12,0,0,0,0,N/A,19.65,22.12,"[22.11, 23.04, 23.18, 20.39, 21.22]"
Denise,Diaz,21,22.33,2.03,23,61.0,16,0,0,0,0,N/A,16.77,20.54,"[21.18, 23.3, 16.77, 18.64, 21.8]"
Amber,Aguilar,28,25.1,2.01,220,290.2,12,0,0,0,0,N/A,20.75,24.83,"[23.85, 23.61, 23.5, 27.04, 28.59]"
Amanda,Scott,24,23.72,2.29,91,206.3,12,0,0,0,0,N/A,18.6,22.81,"[23.38, 21.83, 25.46, 21.91, 23.13]"
Rebecca,Gonzalez,31,24.98,1.99,106,227.9,12,0,0,0,0,N/A,20.83,22.65,"[21.92, 23.69, 22.34, 27.68, 20.83]"
Robert,Sims,30,23.72,1.8,63,150.0,12,0,0,0,0,N/A,20.27,22.19,"[23.92, 21.05, 24.69, 21.61, 21.01]"
Tiffany,Dixon,30,21.68,1.97,16,66.1,18,0,0,0,0,N/A,15.23,20.11,"[19.59, 15.23, 20.51, 20.23, 21.02]"
David,Johnson,23,28.57,1.85,354,378.1,12,0,0,0,0,N/A,24.19,27.39,"[26.88, 27.79, 27.49, 31.42, 26.73]"
Traci,Cox,32,22.97,2.08,54,136.7,6,0,0,0,0,N/A,19.83,22.43,"[21.67, 23.15, 20.05, 22.94, 22.68]"
Heidi,Grant,20,23.86,2.02,141,219.8,12,0,0,0,0,N/A,20.18,24.0,"[22.23, 28.26, 22.05, 24.94, 24.84]"
Sarah,Mendoza,23,23.77,1.59,98,171.2,12,0,0,0,0,N/A,19.1,22.94,"[23.67, 24.52, 23.66, 21.48, 19.1]"
Kimberly,Martin,21,24.34,2.22,74,205.9,12,0,0,0,0,N/A,19.55,21.59,"[21.42, 22.07, 24.85, 21.28, 20.99]"
Kyle,Alvarez,30,26.04,2.19,126,292.8,12,0,0,0,0,N/A,22.45,23.68,"[23.64, 22.61, 27.07, 23.0, 24.41]"
Donald,Dixon,29,21.01,1.8,11,31.0,20,0,0,0,0,N/A,16.54,19.35,"[20.07, 16.75, 19.34, 18.63, 22.28]"
Nicole,Thompson,29,24.18,2.16,71,187.0,12,0,0,0,0,N/A,19.11,22.75,"[26.25, 22.53, 23.56, 22.15, 21.86]"
Brittany,Obrien,28,23.77,2.34,43,149.7,16,0,0,0,0,N/A,18.07,21.74,"[29.55, 21.55, 23.47, 19.97, 20.21]"
William,Hill,32,22.09,1.57,11,50.1,10,0,0,0,0,N/A,17.02,21.07,"[21.1, 23.27, 21.83, 20.28, 19.05]"
Aaron,Hall,21,22.65,1.83,39,87.2,14,0,0,0,0,N/A,18.03,21.38,"[20.85, 21.11, 20.89, 24.98, 22.14]"
Lonnie,Green,20,23.44,2.31,34,112.4,16,0,0,0,1,N/A,14.38,20.53,"[21.74, 22.39, 14.38, 17.46, 27.79]"
Christopher,Wu,23,23.4,1.93,44,143.4,14,0,0,0,0,N/A,17.39,22.39,"[23.42, 22.46, 20.54, 27.77, 21.3]"
Anita,Butler,22,24.73,1.47,131,241.5,12,0,0,0,0,N/A,21.95,23.72,"[24.32, 21.95, 23.71, 23.16, 24.3]"
Justin,Thomas,29,22.54,2.03,56,106.0,12,0,0,0,0,N/A,17.94,21.29,"[21.49, 24.59, 19.61, 18.92, 22.78]"
Michelle,Evans,26,23.74,2.1,57,145.1,12,0,0,0,0,N/A,18.13,22.39,"[21.36, 22.68, 23.13, 23.53, 21.37]"
Donald,Levy,29,22.95,2.03,31,85.4,16,0,0,0,0,N/A,18.61,21.68,"[20.16, 20.37, 21.51, 24.89, 23.15]"
John,Tucker,29,25.31,2.16,156,232.8,12,0,0,0,0,N/A,21.18,24.02,"[22.13, 25.74, 25.04, 24.9, 21.18]"
Anthony,Holmes,30,26.21,1.98,188,287.2,12,0,0,0,0,N/A,20.53,24.45,"[22.74, 22.84, 26.65, 23.85, 28.27]"
Carol,Riley,26,23.34,1.8,57,118.7,12,0,0,0,0,N/A,18.34,22.1,"[26.83, 22.52, 21.91, 19.11, 21.86]"
Jeff,Miller,21,25.14,1.73,111,254.3,12,0,0,0,0,N/A,21.24,23.21,"[23.54, 21.24, 23.25, 28.06, 22.84]"
