The Milwaukee Cup Sponsored by GAN
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Tanya,Lee,16.64,"[15.21, 21.03, 14.87, 18.15, 16.55]"
2nd,Elizabeth,Williams,18.89,"[20.37, 16.47, 19.4, 16.89, 20.88]"
3rd,Julia,Lamb,19.39,"[19.74, 22.9, 18.56, 19.86, 18.46]"
4th,Antonio,Valencia,19.59,"[22.12, 17.36, 19.25, 20.9, 18.62]"
5th,Denise,Harrison,19.63,"[17.87, 18.77, 19.78, 20.33, 21.22]"
6th,Robert,Young,19.85,"[17.19, 22.2, 19.64, 22.71, 17.72]"
7th,Robert,Andrews,20.24,"[20.49, 20.63, 22.08, 18.64, 19.6]"
8th,Steven,Carpenter,20.38,"[20.68, 20.52, 19.52, 19.95, 21.09]"
9th,Maggie,Silver,20.41,"[21.23, 23.82, 21.0, 19.01, 18.2]"
10th,Alyssa,Murillo,20.54,"[17.54, 21.82, 20.6, 21.31, 19.71]"
11th,Tracy,Kelley,20.55,"[21.3, 19.59, 19.54, 20.76, 22.59]"
12th,Kimberly,White,20.64,"[16.19, 22.97, 21.94, 20.63, 19.34]"
13th,Chad,Thomas,20.73,"[19.44, 21.51, 20.94, 23.82, 19.74]"
14th,Stephanie,Cain,20.82,"[17.57, 18.82, 22.78, 20.87, 23.0]"
15th,Henry,Hunter,20.86,"[22.25, 19.03, 18.51, 23.23, 21.31]"
16th,Donald,Dixon,20.89,"[20.11, 20.99, 24.87, 20.3, 21.38]"
17th,David,Heath,21.13,"[20.99, 22.35, 21.86, 19.45, 20.55]"
18th,David,Long,21.19,"[20.99, 23.06, 19.9, 20.73, 21.84]"
19th,Michelle,Hart,21.27,"[20.56, 17.35, 22.49, 20.76, 22.52]"
20th,Joel,Morris,21.28,"[24.26, 20.49, 22.62, 20.72, 20.49]"
21st,Brett,Hill,21.38,"[21.45, 20.13, 21.62, 21.07, 22.01]"
22nd,Lynn,Cohen,21.38,"[17.59, 21.58, 24.45, 22.99, 19.57]"
23rd,Duane,Smith,21.54,"[19.29, 21.78, 22.63, 20.78, 22.05]"
24th,William,Hill,21.56,"[20.51, 22.29, 21.89, 23.61, 20.17]"
25th,Tammy,Powers,21.66,"[21.45, 22.86, 19.6, 20.67, 'DNF']"
26th,Mark,Williams,21.72,"[20.86, 19.46, 23.29, 21.02, 27.13]"
27th,Bill,Meadows,21.72,"[23.96, 21.94, 22.11, 18.0, 21.1]"
28th,Brittany,Obrien,21.74,"[29.55, 21.55, 23.47, 19.97, 20.21]"
29th,Kayla,Johnson,21.77,"[20.01, 21.97, 20.53, 22.82, 24.08]"
30th,Jeremy,Fisher,21.8,"[21.91, 25.21, 21.52, 21.37, 21.97]"
31st,Nathaniel,White,21.81,"[18.6, 23.59, 22.34, 22.28, 20.82]"
32nd,Sarah,Torres,21.85,"[23.46, 22.63, 19.48, 20.97, 21.96]"
33rd,Jacob,Garcia,21.87,"[18.68, 21.63, 21.1, 24.4, 22.89]"
34th,Robin,Wells,21.88,"[19.16, 24.1, 24.26, 18.72, 22.39]"
35th,Eric,Graham,21.92,"[16.49, 22.68, 20.68, 23.99, 22.41]"
36th,Maria,Turner,21.93,"[25.66, 22.17, 23.71, 19.92, 19.66]"
37th,Conor,Evans,22.04,"[24.28, 22.5, 21.39, 22.22, 19.8]"
38th,Allen,Cook,22.07,"[25.51, 23.68, 21.53, 21.01, 20.96]"
39th,Sheila,Johnson,22.07,"[25.92, 22.33, 23.39, 20.25, 20.5]"
40th,Emerson,Tichenor,22.08,"[15.18, 20.66, 22.05, 24.13, 23.53]"
41st,Laurie,Palmer,22.12,"[23.58, 19.93, 20.33, 28.53, 22.45]"
42nd,Amanda,Davis,22.16,"[21.83, 23.72, 21.1, 22.4, 22.26]"
43rd,Alexis,Valentine,22.17,"[21.73, 21.46, 23.17, 21.61, 24.64]"
44th,Daniel,Mendoza,22.17,"[23.95, 22.01, 22.09, 21.66, 22.42]"
45th,James,Martin,22.18,"[22.54, 22.53, 21.14, 22.55, 21.47]"
46th,Daria,Buchkovsky,22.23,"[24.88, 23.0, 20.2, 23.49, 19.68]"
47th,Timothy,Mcconnell,22.23,"[25.65, 20.55, 22.25, 21.27, 23.18]"
48th,Justin,Santana,22.29,"[23.53, 22.77, 25.82, 20.07, 20.58]"
49th,Heather,Ali,22.3,"[23.09, 22.23, 21.18, 21.59, 24.07]"
50th,George,Wright,22.3,"[23.47, 22.54, 22.15, 22.21, 21.95]"
51st,Jared,Preston,22.31,"[22.43, 22.76, 20.3, 23.28, 21.75]"
52nd,Cheryl,Jackson,22.31,"[22.37, 22.56, 21.72, 22.29, 22.26]"
53rd,Andrew,Bradford,22.31,"[22.43, 19.11, 23.3, 21.21, 23.58]"
54th,Kelly,Morris,22.33,"[21.25, 21.91, 24.34, 23.5, 21.57]"
55th,James,Howard,22.35,"[20.91, 22.95, 25.68, 22.01, 22.1]"
56th,Lonnie,Green,22.37,"[22.5, 21.09, 23.51, 24.49, 18.88]"
57th,Karen,Castro,22.4,"[23.65, 22.82, 21.84, 22.55, 21.28]"
58th,Victor,Francis,22.44,"[22.18, 21.97, 22.53, 22.62, 26.02]"
59th,Cynthia,Silva,22.47,"[21.33, 23.97, 22.11, 19.6, 27.2]"
60th,Michele,Cordova,22.49,"[21.7, 19.2, 24.23, 25.85, 21.55]"
61st,Anita,Buchanan,22.5,"[22.59, 21.45, 26.44, 23.13, 21.77]"
62nd,Kimberly,Williams,22.52,"[21.99, 24.7, 22.35, 21.89, 23.21]"
63rd,Jessica,Lane,22.52,"[21.33, 20.66, 23.76, 23.57, 22.66]"
64th,Paul,Norris,22.55,"[20.89, 22.69, 22.47, 22.48, 26.62]"
65th,Jason,Martin,22.61,"[18.96, 21.92, 23.69, 25.43, 22.22]"
66th,Suzanne,Weiss,22.63,"[22.5, 26.25, 21.83, 21.78, 23.55]"
67th,Martha,Smith,22.65,"[22.9, 24.41, 19.51, 21.96, 23.09]"
68th,Terrance,Fowler,22.7,"[20.5, 22.36, 'DNF', 23.36, 22.39]"
69th,Barbara,Thomas,22.74,"[22.64, 23.71, 18.9, 28.73, 21.88]"
70th,Whitney,Nicholson,22.76,"[24.28, 19.63, 24.58, 21.63, 22.36]"
71st,Clinton,Buck,22.77,"[22.83, 20.22, 23.57, 21.91, 24.48]"
72nd,Kirsten,Mendoza,22.8,"[20.9, 24.12, 21.59, 23.05, 23.77]"
73rd,Roberto,Parsons,22.81,"[22.76, 22.09, 19.74, 24.99, 23.58]"
74th,Gabrielle,Brock,22.84,"[18.93, 26.44, 23.61, 19.7, 25.21]"
75th,James,Horne,22.92,"[24.83, 19.33, 24.42, 20.61, 23.73]"
76th,Sarah,Hunt,22.93,"[19.02, 23.39, 22.6, 27.72, 22.79]"
77th,Christina,Kelly,22.95,"[22.98, 23.97, 25.76, 21.91, 20.32]"
78th,Kristen,Williams,22.98,"[28.66, 21.98, 23.14, 23.06, 22.73]"
79th,Jeanette,King,22.98,"[21.98, 23.14, 'DNF', 19.73, 23.83]"
80th,Denise,Diaz,23.04,"[24.02, 22.12, 21.36, 22.98, 26.43]"
81st,Christopher,Kim,23.04,"[21.29, 24.46, 23.02, 23.7, 22.4]"
82nd,Tiffany,Owens,23.06,"[22.68, 23.9, 'DNF', 22.6, 21.27]"
83rd,Brittany,Carroll,23.07,"[21.45, 24.77, 22.42, 23.07, 23.72]"
84th,Jeffrey,Turner,23.1,"[22.54, 22.18, 23.35, 23.4, 24.16]"
85th,George,Mcguire,23.11,"[22.55, 21.22, 22.64, 25.94, 24.13]"
86th,John,Tran,23.14,"[21.94, 21.06, 24.16, 23.33, 27.08]"
87th,Caitlin,Nolan,23.15,"[20.57, 25.81, 20.06, 24.72, 24.17]"
88th,Sarah,Underwood,23.15,"[22.07, 23.32, 20.03, 25.39, 24.06]"
89th,Tyler,Roach,23.16,"[25.4, 21.1, 22.81, 27.51, 21.28]"
90th,Cheryl,Weaver,23.2,"[23.82, 20.76, 26.15, 22.7, 23.08]"
91st,Brooke,Hunter,23.22,"[26.0, 22.46, 21.58, 18.53, 25.61]"
92nd,Elizabeth,Taylor,23.23,"[22.25, 22.9, 22.93, 23.87, 25.79]"
93rd,Thomas,Dalton,23.27,"[22.29, 25.1, 25.04, 22.49, 20.93]"
94th,Scott,Bryant,23.29,"[22.01, 26.29, 25.73, 22.14, 20.08]"
95th,Jennifer,Bass,23.3,"[21.84, 24.35, 23.7, 21.07, 24.88]"
96th,James,Wade,23.3,"[18.41, 21.58, 25.63, 24.43, 23.89]"
97th,Alexandria,Perez,23.33,"[27.05, 22.71, 21.47, 25.32, 21.97]"
98th,Tracy,Snyder,23.34,"[20.32, 21.07, 24.56, 24.4, 'DNF']"
99th,Keith,Mosley,23.35,"[23.04, 22.47, 23.22, 25.41, 23.8]"
100th,Carlos,Thompson,23.36,"[21.14, 26.59, 20.55, 24.13, 24.82]"
101st,Marcus,Nguyen,23.37,"[23.54, 20.95, 25.48, 21.08, 25.83]"
102nd,Marissa,Scott,23.37,"[22.31, 24.57, 25.04, 20.76, 23.24]"
103rd,Haley,Ryan,23.43,"[25.75, 23.04, 21.49, 19.77, 27.8]"
104th,Nicole,Young,23.44,"[25.77, 22.72, 21.01, 24.04, 23.57]"
105th,James,Gamble,23.47,"[22.0, 23.35, 23.52, 23.55, 23.55]"
106th,Christine,Hicks,23.5,"[20.67, 24.96, 24.11, 22.53, 23.85]"
107th,Justin,Johnson,23.52,"[23.61, 21.51, 23.51, 27.2, 23.43]"
108th,Kayla,Moore,23.54,"[22.87, 26.64, 24.95, 22.81, 22.24]"
109th,Andrew,Barnett,23.57,"[23.89, 23.65, 24.15, 23.17, 20.29]"
110th,Sean,Moore,23.62,"[24.34, 21.22, 22.46, 24.05, 24.56]"
111th,Eric,Meadows,23.63,"[23.02, 19.79, 24.52, 28.06, 23.36]"
112th,Mary,Holt,23.63,"[24.31, 21.9, 22.44, 24.71, 24.14]"
113th,Cory,Warner,23.64,"[25.45, 24.76, 23.0, 23.15, 21.22]"
114th,Anthony,Smith,23.66,"[22.5, 24.59, 23.88, 22.06, 25.04]"
115th,Douglas,Robinson,23.67,"[21.52, 24.21, 20.16, 25.29, 26.08]"
116th,Aaron,Hall,23.68,"['DNF', 23.23, 19.77, 25.92, 21.89]"
117th,Jared,Hahn,23.69,"[24.18, 23.01, 21.47, 23.87, 25.8]"
118th,Kathleen,Ward,23.7,"[22.3, 24.7, 27.47, 24.09, 21.36]"
119th,Nicole,Thompson,23.71,"[22.21, 23.6, 24.0, 23.79, 23.73]"
120th,Christine,Moran,23.74,"[20.3, 25.08, 23.49, 26.26, 22.66]"
121st,James,Miller,23.75,"[21.26, 23.93, 23.65, 23.68, 25.68]"
122nd,Danielle,Knapp,23.75,"[24.57, 24.99, 23.16, 21.75, 23.51]"
123rd,Justin,Thomas,23.76,"[25.52, 22.22, 23.63, 23.94, 23.71]"
124th,Jennifer,Lewis,23.76,"[25.11, 23.87, 22.72, 23.21, 24.21]"
125th,Keith,Henderson,23.77,"[23.18, 23.04, 25.1, 27.28, 22.61]"
126th,Kyle,Alvarez,23.8,"[26.6, 24.46, 22.45, 22.88, 24.06]"
127th,Gregory,Hood,23.8,"[20.42, 22.13, 25.39, 23.87, 25.95]"
128th,Brittany,Duffy,23.82,"[23.66, 23.38, 25.2, 22.3, 24.43]"
129th,Adam,Baker,23.86,"[25.07, 23.82, 22.69, 20.26, 26.53]"
130th,Juan,Davis,23.89,"[23.84, 23.6, 21.18, 24.23, 24.4]"
131st,Tony,Bell,23.93,"[22.97, 25.29, 23.52, 19.71, 'DNF']"
132nd,Christina,Marshall,23.95,"[23.87, 26.0, 23.87, 24.11, 21.74]"
133rd,Kimberly,Cook,23.96,"[22.85, 22.25, 24.57, 24.82, 24.46]"
134th,Lauren,Morrow,23.97,"[23.49, 25.58, 27.02, 22.85, 22.77]"
135th,Taylor,Roach,23.97,"[25.01, 22.53, 25.56, 24.36, 22.13]"
136th,Stacy,Dodson,23.98,"[23.98, 23.37, 23.96, 25.99, 24.01]"
137th,Donald,Levy,23.99,"[26.03, 24.63, 21.79, 24.62, 22.72]"
138th,Patricia,Ross,23.99,"[23.27, 23.3, 25.4, 20.77, 26.16]"
139th,Corey,Smith,24.0,"[22.53, 25.55, 21.62, 23.91, 26.1]"
140th,Robert,Sims,24.04,"[25.65, 24.13, 22.23, 24.53, 23.46]"
