The Johannesburg Open Tournament in South Africa
Best Single,14.51,Daria Buchkovsky,Best AO5,18.27,Tanya Lee,"[14.7, 17.18, 20.76, 16.88, 25.82]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Kimberly,White,19.97,16.42,19.69,"[18.7, 20.41, 19.71, 21.92, 18.96]",10,0
2nd,Antonio,Valencia,20.1,15.73,18.43,"[19.67, 15.73, 18.23, 19.15, 17.91]",40,0
3rd,Maggie,Silver,20.07,18.43,19.22,"[18.95, 'DNF', 19.2, 18.65, 19.5]",14,1
4th,Jason,Martin,20.89,15.85,19.26,"[19.02, 20.2, 18.55, 21.34, 15.85]",55,0
5th,Jeanette,King,21.34,17.86,20.85,"[20.7, 18.37, 21.64, 22.59, 20.22]",15,0
6th,Eric,Graham,21.21,17.17,20.9,"[20.28, 20.97, 20.41, 22.34, 21.32]",15,0
7th,Robert,Andrews,20.04,18.33,19.34,"[19.83, 22.51, 18.33, 18.95, 19.23]",20,0
8th,Andrew,Bradford,21.23,18.29,20.37,"[20.72, 19.8, 22.08, 20.6, 19.57]",30,0
9th,Cheryl,Jackson,20.4,16.24,19.47,"[17.36, 22.03, 18.31, 21.19, 18.91]",25,0
10th,Steven,Carpenter,21.76,19.09,21.1,"[21.24, 24.52, 19.36, 21.4, 20.66]",15,0
11th,William,Hill,21.68,18.33,21.07,"[21.1, 23.27, 21.83, 20.28, 19.05]",14,1
12th,Robert,Young,20.95,15.39,19.65,"[15.39, 21.92, 20.87, 21.48, 16.61]",24,1
13th,Alyssa,Murillo,20.96,16.67,20.04,"[22.69, 20.35, 20.91, 18.87, 18.74]",20,0
14th,Stephanie,Cain,20.37,17.42,18.36,"[18.35, 18.24, 22.14, 18.38, 18.35]",20,0
15th,Michelle,Hart,21.13,16.52,19.77,"[22.76, 16.52, 20.05, 22.27, 16.99]",29,1
16th,David,Heath,20.82,16.99,20.07,"[16.99, 22.83, 19.19, 21.35, 19.68]",20,0
17th,Scott,Bryant,21.58,16.82,20.1,"[19.98, 20.93, 18.7, 19.74, 20.59]",30,0
18th,Kayla,Johnson,21.52,16.11,20.14,"[18.8, 18.13, 17.57, 24.1, 23.48]",25,0
19th,Nicole,Young,22.37,18.91,20.82,"[20.7, 18.91, 22.04, 20.9, 20.85]",14,1
20th,Daria,Buchkovsky,21.18,14.51,19.77,"[18.34, 22.0, 14.51, 24.93, 18.97]",25,0
21st,Brett,Hill,20.83,17.79,19.35,"[19.49, 18.25, 20.34, 20.32, 18.24]",24,1
22nd,George,Wright,22.52,20.03,21.35,"[22.26, 20.03, 20.61, 22.78, 21.17]",15,0
23rd,Denise,Diaz,22.14,19.09,20.84,"[19.89, 20.28, 21.84, 20.41, 23.79]",30,0
24th,Tanya,Lee,19.76,14.7,18.27,"[14.7, 17.18, 20.76, 16.88, 25.82]",25,0
25th,James,Howard,21.42,18.31,20.86,"[20.07, 20.35, 19.98, 22.17, 23.33]",19,1
26th,Terrance,Fowler,22.98,17.22,21.52,"[26.52, 20.67, 17.28, 20.55, 23.34]",25,0
27th,Nathaniel,White,21.58,17.52,20.94,"[19.59, 23.27, 23.34, 17.52, 19.96]",20,0
28th,Donald,Dixon,21.68,17.99,21.03,"[19.95, 21.57, 18.87, 21.56, 22.98]",25,0
29th,Christopher,Kim,22.08,19.81,21.04,"[26.3, 19.9, 21.19, 20.89, 21.05]",24,1
30th,Julia,Lamb,21.67,18.08,20.65,"[19.59, 19.04, 20.42, 24.13, 21.95]",19,1
31st,Duane,Smith,22.69,18.46,21.73,"[20.19, 22.57, 22.44, 'DNF', 18.46]",24,1
32nd,Tracy,Snyder,22.34,19.22,20.73,"[19.22, 20.8, 19.22, 24.03, 22.17]",19,1
33rd,Donald,Levy,22.61,19.85,22.07,"[20.96, 24.12, 22.26, 20.99, 22.95]",20,0
34th,Jacob,Garcia,22.41,18.04,21.69,"[23.54, 21.11, 23.83, 19.56, 20.43]",15,0
35th,Tammy,Powers,22.1,18.12,21.02,"[21.61, 19.83, 21.38, 22.86, 20.06]",19,1
36th,Henry,Hunter,22.06,16.83,20.7,"[16.83, 20.16, 22.76, 20.9, 21.04]",18,2
37th,Allen,Cook,22.73,19.77,21.05,"[23.22, 21.22, 21.61, 19.77, 20.32]",20,0
38th,Caitlin,Nolan,23.45,19.26,22.08,"[22.1, 24.67, 20.72, 20.72, 23.42]",17,3
39th,Aaron,Hall,22.83,20.57,21.91,"[20.83, 21.84, 22.23, 25.66, 21.65]",20,0
40th,Clinton,Buck,21.88,18.93,21.48,"[23.15, 21.42, 18.93, 20.2, 22.81]",15,0
41st,Bill,Meadows,20.85,16.85,19.6,"[21.88, 20.16, 18.04, 18.61, 20.02]",20,0
42nd,Timothy,Mcconnell,21.88,17.95,20.58,"[19.54, 20.3, 22.58, 21.79, 19.66]",15,0
43rd,Eric,Miller,22.3,18.35,21.66,"[20.82, 22.06, 20.98, 22.66, 21.94]",19,1
44th,Heather,Ali,23.05,19.6,22.1,"[23.15, 23.93, 23.23, 19.91, 19.72]",15,0
45th,Ian,Campbell,24.23,21.22,22.27,"[23.04, 22.93, 21.75, 22.14, 21.22]",15,0
46th,Kyle,Bailey,23.65,19.79,22.13,"[22.21, 21.98, 21.43, 22.21, 24.41]",15,0
47th,Lonnie,Green,23.2,17.95,22.21,"[25.88, 17.95, 22.45, 22.2, 21.97]",15,0
48th,Ryan,Stoyko,21.9,17.87,20.97,"[21.52, 20.37, 22.36, 20.12, 21.03]",19,1
49th,Elizabeth,Taylor,23.46,19.48,22.64,"[19.48, 22.3, 24.54, 23.42, 22.21]",15,0
50th,Brian,Daniel,24.8,20.91,22.52,"[23.57, 26.19, 20.91, 20.93, 23.06]",15,0
51st,Jared,Preston,23.84,20.24,22.49,"[22.7, 21.15, 24.14, 23.62, 20.24]",14,1
52nd,Tiffany,Dixon,21.97,19.89,21.84,"[20.32, 19.89, 23.41, 22.17, 23.03]",15,0
53rd,Karen,Castro,22.22,19.07,22.15,"[19.07, 24.73, 20.4, 24.68, 21.38]",15,0
54th,Traci,Cox,22.86,20.05,22.43,"[21.67, 23.15, 20.05, 22.94, 22.68]",15,0
55th,Justin,Santana,24.02,21.1,22.41,"[24.12, 21.45, 21.1, 26.23, 21.65]",15,0
56th,Tracy,Kelley,22.83,20.18,22.41,"[22.37, 21.7, 20.18, 23.16, 25.3]",13,2
57th,Michelle,Evans,23.37,18.93,22.4,"[21.4, 21.77, 23.65, 21.79, 27.47]",14,1
58th,Amanda,Davis,22.09,18.81,21.72,"[21.48, 18.81, 24.43, 21.89, 21.78]",15,0
59th,Ashley,Hamilton,24.5,19.92,22.34,"[19.92, 25.24, 23.16, 21.47, 22.38]",15,0
60th,Alexis,Valentine,22.57,18.04,22.33,"[18.04, 22.17, 22.49, 22.34, 24.02]",15,0
61st,Victor,Francis,22.71,19.8,22.12,"[19.8, 23.19, 21.25, 24.68, 21.93]",15,0
62nd,Robin,Wells,22.47,16.22,22.22,"[22.73, 20.35, 16.22, 23.59, 24.16]",15,0
63rd,Michael,Rodgers,23.57,19.49,22.16,"[26.21, 22.65, 20.29, 19.49, 23.54]",15,0
64th,Kelly,Morris,23.42,20.52,22.18,"[20.52, 20.89, 24.56, 23.4, 22.24]",15,0
65th,Julie,Barr,23.42,20.15,22.65,"[20.62, 22.97, 20.15, 28.96, 24.37]",5,0
66th,Elizabeth,Williams,22.62,20.74,22.66,"[20.74, 24.37, 22.63, 22.03, 23.33]",5,0
67th,Joel,Morris,22.54,20.43,22.67,"[22.58, 24.27, 22.93, 22.5, 20.43]",5,0
68th,Sarah,Underwood,22.09,18.68,22.68,"[23.37, 23.69, 22.41, 22.27, 18.68]",5,0
69th,Brooke,Hunter,22.96,19.86,22.7,"[23.72, 22.25, 26.86, 22.14, 19.86]",5,0
70th,Emerson,Tichenor,22.64,19.43,22.72,"[24.47, 19.43, 19.74, 23.95, 25.62]",5,0
71st,Nicole,Thompson,23.27,21.86,22.75,"[26.25, 22.53, 23.56, 22.15, 21.86]",5,0
72nd,Sarah,Torres,22.42,19.97,22.81,"[23.69, 22.93, 19.97, 22.36, 23.15]",5,0
73rd,Conor,Evans,22.41,19.06,22.85,"[21.65, 19.06, 22.53, 24.38, 24.43]",5,0
74th,Jeremy,Fisher,22.37,20.94,22.85,"[22.27, 'DNF', 20.94, 24.23, 22.04]",4,1
75th,Brittany,Carroll,22.67,20.56,22.86,"[24.22, 22.74, 20.56, 22.18, 23.65]",5,0
76th,Julia,Stone,22.84,21.04,22.95,"[21.04, 23.14, 24.31, 23.51, 22.21]",5,0
77th,Alexandria,Perez,22.64,19.91,22.96,"[24.37, 21.35, 19.91, 24.15, 23.39]",5,0
78th,Jade,Berg,23.38,20.82,23.01,"[22.57, 27.03, 23.44, 20.82, 23.03]",5,0
79th,Mark,Williams,23.0,21.06,23.02,"[21.28, 24.42, 21.06, 23.35, 24.91]",5,0
80th,Michele,Cordova,22.81,21.37,23.03,"[22.99, 23.59, 21.37, 23.06, 23.04]",5,0
81st,Chad,Thomas,22.93,21.03,23.05,"[24.49, 23.64, 23.2, 22.31, 21.03]",5,0
82nd,David,Long,22.72,18.75,23.09,"[18.75, 23.81, 23.54, 25.58, 21.92]",5,0
83rd,Jessica,Lane,22.54,16.13,23.1,"[23.5, 27.25, 22.82, 22.98, 16.13]",5,0
84th,Regina,Erickson,23.21,22.08,23.12,"[22.72, 24.58, 22.08, 22.75, 23.9]",5,0
85th,Sheila,Johnson,22.06,18.89,23.12,"[18.89, 'DNF', 24.57, 22.63, 22.16]",4,1
86th,Maria,Turner,23.24,17.86,23.12,"[24.33, 17.86, 28.97, 21.19, 23.84]",5,0
87th,Anita,Buchanan,23.26,21.93,23.14,"[21.93, 23.06, 22.17, 24.18, 25.0]",5,0
88th,James,Wade,22.9,21.49,23.15,"[23.32, 23.37, 22.75, 23.59, 21.49]",5,0
89th,Cynthia,Silva,23.55,21.94,23.15,"[22.12, 25.35, 26.34, 21.98, 21.94]",5,0
90th,Kimberly,Williams,22.98,21.5,23.16,"[22.9, 23.28, 23.92, 23.3, 21.5]",5,0
91st,David,Clarke,23.76,20.96,23.18,"[22.36, 22.2, 28.28, 24.98, 20.96]",5,0
92nd,Justin,Thomas,23.18,22.24,23.19,"[24.07, 22.24, 23.6, 22.5, 23.46]",5,0
93rd,Brittany,Duffy,23.07,21.51,23.26,"[24.07, 22.87, 24.04, 22.86, 21.51]",5,0
94th,Sarah,Riggs,23.57,20.03,23.28,"[27.31, 21.32, 21.21, 27.96, 20.03]",5,0
95th,Kirsten,Mendoza,23.46,21.22,23.31,"[26.16, 21.22, 23.29, 22.15, 24.48]",5,0
96th,Jennifer,Mcintyre,23.19,20.68,23.31,"[24.27, 20.68, 24.19, 25.32, 21.47]",5,0
97th,Justin,Johnson,23.18,21.17,23.31,"[21.17, 23.11, 22.73, 24.09, 24.78]",5,0
98th,Sean,Moore,23.2,21.2,23.34,"[21.44, 24.82, 23.77, 24.8, 21.2]",5,0
99th,Cheryl,Weaver,22.71,18.79,23.34,"[18.79, 22.81, 24.71, 23.72, 23.49]",5,0
100th,Barbara,Thomas,23.6,22.71,23.37,"[22.71, 22.78, 23.3, 24.04, 25.18]",5,0
101st,David,Hamilton,23.33,22.37,23.38,"[22.37, 23.56, 24.16, 23.61, 22.96]",5,0
102nd,Douglas,Robinson,23.12,20.58,23.41,"[22.78, 24.59, 24.75, 20.58, 22.86]",5,0
103rd,Laurie,Palmer,23.11,20.8,23.42,"[24.48, 20.8, 23.89, 23.17, 23.19]",5,0
104th,Suzanne,Weiss,23.43,22.59,23.44,"[22.59, 23.83, 24.23, 22.61, 23.87]",5,0
105th,Christina,Kelly,23.45,22.24,23.44,"[22.24, 22.68, 23.22, 24.71, 24.43]",5,0
106th,James,Horne,23.4,20.65,23.45,"[22.04, 24.06, 20.65, 26.01, 24.26]",5,0
107th,Susan,Cox,23.3,21.16,23.45,"[23.57, 21.16, 22.61, 24.17, 24.97]",5,0
108th,James,Martin,24.24,23.02,23.46,"[23.22, 23.46, 23.02, 23.69, 27.82]",5,0
109th,Danielle,Knapp,22.93,21.3,23.47,"['DNF', 22.43, 24.9, 23.09, 21.3]",4,1
110th,Karen,Hunter,23.69,21.74,23.47,"[22.72, 23.74, 23.96, 21.74, 26.3]",5,0
111th,David,Nichols,23.92,22.8,23.52,"[22.8, 24.22, 23.06, 23.28, 26.26]",5,0
112th,Kelly,Knight,23.81,21.77,23.53,"[23.18, 21.77, 22.54, 24.86, 26.7]",5,0
113th,Jennifer,Chung,22.91,20.85,23.6,"[23.29, 22.63, 24.87, 20.85, 'DNF']",4,1
114th,Christopher,Wu,23.67,21.28,23.62,"[24.18, 21.28, 26.24, 23.19, 23.49]",5,0
115th,Denise,Harrison,23.32,19.29,23.66,"[26.3, 19.29, 23.82, 24.36, 22.79]",5,0
116th,Tony,Bell,22.88,17.64,23.74,"[24.86, 24.55, 21.8, 25.58, 17.64]",5,0
