The Johannesburg Open Tournament in South Africa
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Tanya,Lee,19.0,"[20.52, 18.87, 20.14, 17.98, 17.45]"
2nd,Stephanie,Cain,19.07,"[17.42, 17.62, 22.14, 25.71, 17.45]"
3rd,Maggie,Silver,19.22,"[18.95, 'DNF', 19.2, 18.65, 19.5]"
4th,Brett,Hill,19.35,"[19.49, 18.25, 20.34, 20.32, 18.24]"
5th,Kimberly,White,19.89,"[20.36, 16.42, 17.04, 23.9, 22.26]"
6th,Michelle,Hart,19.9,"[20.93, 19.85, 18.93, 22.83, 18.23]"
7th,Kayla,Johnson,20.14,"[18.8, 18.13, 17.57, 24.1, 23.48]"
8th,Robert,Andrews,20.4,"[23.39, 20.56, 19.22, 21.41, 18.68]"
9th,Alyssa,Murillo,20.55,"[20.04, 22.47, 19.65, 16.67, 21.96]"
10th,Timothy,Mcconnell,20.58,"[19.54, 20.3, 22.58, 21.79, 19.66]"
11th,Julia,Lamb,20.65,"[19.59, 19.04, 20.42, 24.13, 21.95]"
12th,Cheryl,Jackson,20.66,"[20.02, 20.25, 20.05, 21.69, 22.29]"
13th,Henry,Hunter,20.7,"[16.83, 20.16, 22.76, 20.9, 21.04]"
14th,Nicole,Young,20.82,"[20.7, 18.91, 22.04, 20.9, 20.85]"
15th,Denise,Diaz,20.84,"[19.89, 20.28, 21.84, 20.41, 23.79]"
16th,Jeanette,King,20.85,"[20.7, 18.37, 21.64, 22.59, 20.22]"
17th,James,Howard,20.86,"[20.07, 20.35, 19.98, 22.17, 23.33]"
18th,Eric,Graham,20.9,"[20.28, 20.97, 20.41, 22.34, 21.32]"
19th,Tammy,Powers,21.02,"[21.61, 19.83, 21.38, 22.86, 20.06]"
20th,David,Heath,21.02,"[20.36, 21.18, 21.53, 23.09, 19.97]"
21st,Allen,Cook,21.05,"[23.22, 21.22, 21.61, 19.77, 20.32]"
22nd,William,Hill,21.07,"[21.1, 23.27, 21.83, 20.28, 19.05]"
23rd,Steven,Carpenter,21.1,"[21.24, 24.52, 19.36, 21.4, 20.66]"
24th,Scott,Bryant,21.3,"[22.32, 19.15, 20.16, 21.42, 26.89]"
25th,Bill,Meadows,21.31,"[19.41, 19.94, 23.43, 24.0, 20.57]"
26th,Andrew,Bradford,21.33,"[19.27, 19.88, 22.68, 21.93, 22.18]"
27th,George,Wright,21.35,"[22.26, 20.03, 20.61, 22.78, 21.17]"
28th,Daria,Buchkovsky,21.4,"[23.86, 20.38, 21.77, 17.87, 22.06]"
