The South Bend Open Tournament in United States
Best Single,14.52,Cheryl Jackson,Best AO5,17.55,Cheryl Jackson,"[15.65, 'DNF', 17.62, 18.09, 16.95]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Antonio,Valencia,20.01,15.73,18.43,"[19.67, 15.73, 18.23, 19.15, 17.91]",58,2
2nd,Tanya,Lee,19.61,14.7,18.27,"[14.7, 17.18, 20.76, 16.88, 25.82]",40,0
3rd,Kimberly,White,19.96,16.11,18.23,"[17.87, 16.11, 19.09, 18.04, 18.79]",35,0
4th,Steven,Carpenter,21.48,18.31,20.04,"[23.78, 18.31, 21.16, 19.44, 19.51]",35,0
5th,Maggie,Silver,20.13,16.14,19.13,"[17.8, 19.63, 19.96, 16.14, 21.52]",58,2
6th,Brett,Hill,20.85,15.98,19.35,"[19.49, 18.25, 20.34, 20.32, 18.24]",58,2
7th,Cheryl,Jackson,20.32,14.52,17.55,"[15.65, 'DNF', 17.62, 18.09, 16.95]",53,2
8th,Daria,Buchkovsky,20.8,14.51,19.53,"[20.49, 20.95, 21.3, 17.15, 15.27]",44,1
9th,David,Heath,20.72,16.99,19.63,"[19.52, 19.51, 20.98, 17.47, 19.87]",35,0
10th,Eric,Graham,20.8,16.57,19.14,"[24.21, 18.91, 18.27, 19.69, 18.81]",55,0
11th,Donald,Dixon,21.74,17.43,21.03,"[19.95, 21.57, 18.87, 21.56, 22.98]",40,0
12th,Elizabeth,Williams,21.77,17.39,20.41,"[20.49, 22.41, 19.55, 17.39, 21.18]",20,0
13th,Clinton,Buck,21.46,18.16,19.93,"[19.84, 22.35, 20.14, 18.98, 19.8]",34,1
14th,Ryan,Stoyko,21.27,16.06,20.07,"[19.14, 18.39, 19.64, 21.43, 22.45]",39,1
15th,Robert,Andrews,20.26,15.96,19.19,"[20.33, 19.92, 18.88, 18.56, 18.77]",50,0
16th,Sarah,Torres,21.66,17.44,20.86,"[21.33, 20.79, 20.41, 20.47, 23.11]",40,0
17th,Michelle,Hart,21.38,16.52,19.77,"[22.76, 16.52, 20.05, 22.27, 16.99]",59,1
18th,Stephanie,Cain,20.7,17.42,18.36,"[18.35, 18.24, 22.14, 18.38, 18.35]",35,0
19th,Kimberly,Williams,21.64,17.85,19.45,"[17.98, 18.96, 22.98, 18.48, 20.9]",20,0
20th,Sarah,Underwood,21.74,17.5,21.13,"[20.9, 22.94, 18.45, 20.37, 22.11]",35,0
21st,David,Long,22.24,18.75,21.28,"[21.3, 20.94, 24.96, 21.29, 21.25]",20,0
22nd,Jeanette,King,21.42,16.89,20.37,"[21.22, 19.57, 25.48, 18.14, 20.32]",30,0
23rd,Robert,Young,20.84,15.39,19.65,"[15.39, 21.92, 20.87, 21.48, 16.61]",46,4
24th,Bill,Meadows,21.51,16.85,19.6,"[21.88, 20.16, 18.04, 18.61, 20.02]",44,1
