The South Bend Open Tournament in United States
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Tanya,Lee,18.91,"[14.91, 16.79, 17.92, 22.01, 22.39]"
2nd,Antonio,Valencia,19.02,"[21.06, 18.44, 18.16, 19.35, 19.27]"
3rd,Kimberly,Williams,19.45,"[17.98, 18.96, 22.98, 18.48, 20.9]"
4th,Kimberly,White,19.65,"[21.81, 19.08, 18.79, 21.09, 17.8]"
5th,Conor,Evans,19.69,"[18.21, 20.15, 18.82, 'DNF', 20.1]"
6th,Eric,Graham,19.97,"[20.23, 20.54, 17.71, 21.89, 19.14]"
7th,Maggie,Silver,20.02,"[19.64, 21.38, 18.56, 21.19, 19.24]"
8th,Brett,Hill,20.15,"[15.98, 17.76, 19.3, 25.67, 23.39]"
9th,David,Heath,20.37,"[20.06, 21.46, 19.76, 21.0, 20.04]"
10th,Ryan,Stoyko,20.42,"[20.48, 21.51, 19.28, 18.61, 23.53]"
11th,Amanda,Davis,20.48,"[21.33, 20.76, 21.23, 19.45, 19.24]"
12th,Karen,Castro,20.53,"[24.09, 21.06, 19.56, 20.77, 19.76]"
13th,Cheryl,Jackson,20.56,"[20.02, 21.22, 14.52, 20.45, 22.06]"
14th,Brooke,Hunter,20.67,"[24.22, 20.68, 23.03, 17.01, 18.29]"
15th,Stephanie,Cain,20.76,"[21.48, 22.43, 20.79, 20.02, 18.27]"
16th,Clinton,Buck,20.82,"[21.35, 20.62, 20.49, 23.39, 20.14]"
17th,Jason,Martin,20.91,"[20.11, 22.93, 20.67, 21.87, 20.19]"
18th,Robert,Young,21.08,"['DNF', 23.02, 19.45, 18.21, 20.76]"
19th,Steven,Carpenter,21.25,"[22.37, 19.5, 20.22, 23.43, 21.15]"
20th,Mark,Williams,21.28,"[21.72, 21.76, 24.38, 18.47, 20.35]"
21st,David,Long,21.35,"[21.24, 20.4, 21.5, 21.61, 21.3]"
22nd,Jeanette,King,21.35,"[20.4, 20.56, 23.09, 16.89, 23.57]"
23rd,Rebecca,Brown,21.36,"[23.2, 20.1, 23.0, 19.63, 20.99]"
24th,Alyssa,Murillo,21.41,"[18.71, 24.42, 21.62, 22.8, 19.81]"
25th,Michelle,Hart,21.51,"[22.02, 18.92, 22.9, 20.67, 21.83]"
26th,Daria,Buchkovsky,21.54,"[20.78, 22.32, 21.53, 19.38, 'DNF']"
27th,George,Wright,21.58,"[18.99, 21.03, 19.97, 24.91, 23.73]"
28th,Sarah,Underwood,21.65,"[21.41, 22.33, 23.75, 21.19, 21.21]"
29th,Tiffany,Owens,21.67,"[21.65, 21.64, 20.63, 24.09, 21.71]"
