The Shanghai Cup Sponsored by GAN
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Antonio,Valencia,18.63,"[19.15, 17.92, 18.53, 21.3, 18.2]"
2nd,Cheryl,Jackson,19.37,"[19.15, 17.68, 20.69, 18.27, 21.41]"
3rd,Eric,Graham,19.47,"[19.88, 20.58, 17.94, 21.79, 12.8]"
4th,Kimberly,White,19.72,"[19.33, 17.72, 21.24, 18.88, 20.95]"
5th,Daria,Buchkovsky,19.8,"[19.08, 19.39, 19.29, 20.73, 20.77]"
6th,Robert,Young,20.04,"[19.09, 20.38, 16.68, 20.78, 20.66]"
7th,Scott,Bryant,20.07,"[23.25, 16.96, 18.78, 18.89, 22.53]"
8th,Jason,Martin,20.17,"[20.67, 23.7, 19.14, 20.7, 19.12]"
9th,Alyssa,Murillo,20.29,"[20.06, 21.54, 18.08, 20.55, 20.27]"
10th,Steven,Carpenter,20.34,"[22.99, 18.37, 21.57, 18.74, 20.71]"
11th,Tanya,Lee,20.45,"[23.9, 20.38, 18.82, 17.13, 22.15]"
12th,Denise,Harrison,20.53,"[19.2, 22.06, 20.19, 22.27, 19.34]"
13th,Maggie,Silver,20.56,"[22.22, 18.98, 21.17, 21.42, 19.1]"
14th,Sarah,Underwood,20.66,"[20.41, 21.07, 20.75, 20.81, 19.4]"
15th,David,Long,20.7,"[20.25, 20.72, 20.65, 20.74, 20.95]"
16th,Maria,Turner,20.8,"[21.22, 21.25, 19.28, 19.94, 21.99]"
17th,Bill,Meadows,21.02,"[21.15, 20.56, 21.36, 19.81, 22.7]"
18th,Stephanie,Cain,21.12,"[22.52, 23.5, 21.02, 19.83, 19.16]"
19th,Alexandria,Perez,21.2,"[21.16, 20.58, 21.57, 27.41, 20.87]"
20th,Mark,Williams,21.23,"[22.61, 18.71, 23.08, 21.33, 19.76]"
21st,Tracy,Kelley,21.24,"[23.53, 20.26, 21.62, 19.4, 21.84]"
22nd,Amanda,Davis,21.34,"[21.31, 20.67, 22.03, 20.46, 23.06]"
23rd,Robert,Andrews,21.39,"[21.11, 20.48, 22.57, 18.41, 24.27]"
24th,Brooke,Hunter,21.43,"[21.72, 20.61, 19.53, 21.96, 24.64]"
25th,Brett,Hill,21.44,"[19.9, 26.13, 23.89, 17.41, 20.53]"
26th,David,Heath,21.45,"[20.76, 21.94, 23.07, 19.74, 21.66]"
27th,Elizabeth,Williams,21.49,"[20.17, 18.43, 22.65, 22.46, 21.83]"
28th,James,Howard,21.61,"[21.55, 21.75, 19.46, 21.54, 22.07]"
29th,Brittany,Duffy,21.62,"[21.51, 21.36, 24.96, 21.62, 21.72]"
30th,William,Hill,21.69,"[22.79, 22.06, 17.02, 20.21, 23.0]"
31st,Jeanette,King,21.71,"[21.42, 24.96, 20.61, 22.16, 21.55]"
32nd,Lonnie,Green,21.75,"[21.46, 19.55, 22.77, 'DNF', 21.03]"
33rd,Sarah,Torres,21.77,"[24.51, 19.93, 24.91, 19.32, 20.87]"
34th,Duane,Smith,21.85,"[20.81, 23.41, 20.81, 22.89, 21.85]"
35th,Robin,Wells,21.87,"[25.01, 18.97, 21.63, 25.71, 18.9]"
36th,Karen,Castro,21.88,"[21.03, 21.89, 20.2, 23.69, 22.71]"
37th,Henry,Hunter,21.92,"[19.04, 21.51, 21.74, 22.51, 22.71]"
38th,Gabrielle,Brock,21.97,"[19.69, 16.9, 22.63, 25.2, 23.6]"
39th,Conor,Evans,22.01,"[17.22, 21.75, 22.36, 26.11, 21.91]"
40th,Ryan,Stoyko,22.03,"[19.74, 24.05, 'DNF', 20.43, 21.62]"
41st,Clinton,Buck,22.04,"[21.57, 19.35, 23.78, 23.22, 21.33]"
42nd,Eric,Miller,22.04,"[21.8, 23.96, 21.24, 23.09, 20.48]"
43rd,Alexis,Valentine,22.05,"[25.54, 23.7, 20.15, 19.82, 22.31]"
44th,Regina,Erickson,22.08,"[21.43, 25.14, 19.84, 21.45, 23.35]"
45th,Timothy,Mcconnell,22.09,"[21.06, 21.59, 22.93, 21.76, 25.16]"
46th,Jacob,Garcia,22.14,"[20.06, 22.59, 24.19, 22.03, 21.81]"
47th,Jeremy,Fisher,22.16,"[23.29, 23.53, 20.54, 20.33, 22.66]"
48th,Christopher,Kim,22.25,"[23.12, 19.76, 20.79, 'DNF', 22.83]"
49th,Sarah,Hunt,22.27,"[22.45, 22.83, 21.52, 24.29, 21.11]"
50th,Tammy,Powers,22.3,"['DNF', 22.1, 22.01, 21.94, 22.78]"
51st,Michele,Cordova,22.37,"[22.72, 20.47, 22.7, 21.68, 22.83]"
52nd,George,Wright,22.37,"[19.44, 20.95, 23.52, 23.02, 23.13]"
53rd,Michelle,Hart,22.42,"[23.12, 23.19, 20.35, 20.95, 23.68]"
54th,Tiffany,Dixon,22.42,"[22.34, 22.13, 21.09, 22.78, 23.53]"
55th,Kimberly,Williams,22.47,"[20.48, 22.6, 23.45, 24.75, 21.36]"
56th,Chad,Thomas,22.49,"[22.68, 21.34, 24.8, 20.0, 23.45]"
57th,Cynthia,Silva,22.57,"[23.71, 18.49, 23.77, 20.22, 'DNF']"
58th,Julia,Lamb,22.61,"[21.64, 18.52, 'DNF', 21.91, 24.28]"
59th,Douglas,Robinson,22.66,"[21.71, 23.11, 24.1, 23.16, 20.27]"
60th,Daniel,Mendoza,22.69,"[22.75, 22.82, 24.12, 22.49, 20.83]"
61st,Andrew,Bradford,22.7,"[24.04, 22.81, 23.05, 18.85, 22.25]"
62nd,Emerson,Tichenor,22.7,"[19.71, 20.67, 24.47, 25.33, 22.95]"
63rd,Jessica,Lane,22.74,"[25.12, 19.47, 28.65, 22.78, 20.31]"
64th,Sheila,Johnson,22.84,"[16.92, 23.35, 22.42, 26.3, 22.75]"
65th,Wendy,Herrera,22.84,"[21.47, 22.86, 23.37, 22.28, 24.01]"
66th,Tiffany,Owens,22.87,"[28.99, 19.64, 24.04, 19.42, 24.93]"
67th,Brittany,Carroll,22.87,"[23.65, 22.5, 22.15, 22.45, 24.48]"
68th,Krystal,Kane,22.93,"[25.02, 22.45, 24.56, 21.79, 20.17]"
69th,Nathaniel,White,22.97,"[24.58, 22.29, 25.49, 15.98, 22.04]"
70th,Donald,Dixon,23.03,"[26.05, 19.71, 21.5, 21.54, 'DNF']"
71st,James,Wade,23.08,"[22.26, 18.55, 22.75, 24.32, 24.23]"
72nd,Kelly,Morris,23.14,"[22.38, 24.29, 25.68, 22.76, 21.15]"
73rd,Paul,Norris,23.18,"[23.58, 17.59, 23.73, 28.89, 22.24]"
74th,Denise,Diaz,23.19,"[21.44, 24.74, 22.96, 26.59, 21.86]"
75th,Tracy,Snyder,23.21,"[22.19, 22.88, 24.16, 22.6, 26.8]"
76th,James,Martin,23.26,"[22.67, 24.84, 23.5, 23.62, 21.38]"
77th,Kayla,Johnson,23.35,"[22.74, 24.93, 21.41, 23.24, 24.07]"
78th,Nicole,Young,23.37,"[23.74, 22.46, 23.12, 23.24, 25.98]"
79th,Heather,Ali,23.42,"[23.85, 25.11, 21.85, 24.57, 20.81]"
80th,Taylor,Roach,23.49,"[25.52, 23.31, 23.39, 23.77, 22.12]"
81st,Brittany,Obrien,23.49,"[21.04, 21.38, 29.02, 24.64, 24.46]"
82nd,Anita,Buchanan,23.5,"[24.25, 23.4, 21.85, 23.73, 23.38]"
83rd,Christopher,Wu,23.56,"[24.53, 24.6, 23.02, 23.14, 21.8]"
84th,Donald,Levy,23.76,"[23.5, 24.3, 23.01, 26.51, 23.48]"
85th,Terrance,Fowler,23.84,"[19.94, 29.75, 21.01, 24.18, 26.33]"
86th,Justin,Santana,24.07,"[24.8, 23.97, 21.24, 27.54, 23.43]"
87th,Aaron,Hall,24.09,"[24.93, 22.46, 24.87, 'DNF', 21.82]"
88th,Joel,Morris,24.18,"[25.52, 23.36, 25.15, 24.03, 21.27]"
89th,Andrew,Barnett,24.36,"[22.57, 26.34, 24.39, 26.13, 22.28]"
90th,Danielle,Knapp,24.36,"[29.34, 22.75, 24.47, 25.55, 23.06]"
91st,Eric,Meadows,24.37,"[21.92, 24.59, 24.61, 26.01, 23.9]"
92nd,Allen,Cook,24.47,"[25.41, 25.14, 23.58, 24.69, 21.49]"
93rd,Julie,Barr,24.54,"[26.71, 26.61, 23.15, 23.86, 22.78]"
94th,Charles,Wright,24.68,"[26.66, 23.6, 22.74, 25.24, 25.19]"
95th,Jared,Hahn,25.04,"[18.55, 24.57, 28.32, 22.61, 27.94]"
96th,Kyle,Bailey,25.12,"[23.46, 24.31, 25.3, 25.74, 29.23]"
