The Ho Chi Minh City Cubing Invitational
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Eric,Graham,18.57,"[18.61, 18.1, 18.99, 16.23, 22.93]"
2nd,Tanya,Lee,18.86,"[19.73, 17.35, 20.33, 17.51, 19.33]"
3rd,Kimberly,White,19.1,"[18.54, 22.22, 20.33, 18.17, 18.42]"
4th,Bill,Meadows,19.69,"[19.99, 20.0, 19.09, 23.1, 17.76]"
5th,Antonio,Valencia,19.84,"[18.47, 18.91, 22.77, 21.76, 18.86]"
6th,Cheryl,Jackson,19.87,"[19.94, 17.52, 18.53, 21.13, 21.24]"
7th,Alyssa,Murillo,19.9,"[25.41, 19.72, 18.36, 19.82, 20.17]"
8th,Stephanie,Cain,20.1,"[19.0, 17.0, 20.33, 22.23, 20.96]"
9th,Maggie,Silver,20.2,"[18.31, 22.36, 20.39, 18.93, 21.28]"
10th,Sarah,Underwood,20.35,"[18.94, 23.12, 21.52, 20.6, 18.67]"
11th,Elizabeth,Williams,20.56,"[21.56, 23.37, 20.48, 19.07, 19.63]"
12th,Jessica,Lane,20.59,"[24.36, 20.05, 21.03, 20.69, 18.7]"
13th,Clinton,Buck,20.69,"[19.78, 22.83, 18.15, 22.16, 20.12]"
14th,Michelle,Hart,20.73,"[23.37, 17.12, 20.72, 25.24, 18.1]"
15th,Kimberly,Williams,20.75,"[20.34, 19.94, 20.81, 21.11, 21.14]"
16th,David,Heath,20.78,"[20.62, 21.83, 19.53, 21.09, 20.62]"
17th,Robin,Wells,20.78,"[21.69, 24.23, 20.19, 20.46, 19.53]"
18th,Donald,Dixon,20.85,"[21.2, 19.25, 22.1, 22.88, 16.71]"
19th,Karen,Castro,20.96,"[23.06, 20.6, 18.39, 20.94, 21.34]"
20th,Brett,Hill,21.08,"[23.72, 23.13, 19.18, 20.93, 18.73]"
21st,Julia,Lamb,21.2,"[22.93, 19.53, 22.17, 20.14, 21.3]"
22nd,Brooke,Hunter,21.27,"[26.21, 20.34, 22.23, 19.36, 21.23]"
23rd,Nathaniel,White,21.32,"[21.14, 21.91, 20.92, 22.83, 16.22]"
24th,Kayla,Johnson,21.36,"[19.18, 22.04, 21.43, 20.61, 22.95]"
25th,Aaron,Hall,21.38,"[20.85, 21.11, 20.89, 24.98, 22.14]"
26th,Amanda,Davis,21.4,"[19.56, 25.03, 20.88, 20.5, 22.81]"
27th,Jeanette,King,21.46,"[24.75, 19.37, 22.65, 22.35, 19.26]"
28th,Cynthia,Silva,21.49,"[18.67, 18.47, 22.84, 22.95, 24.71]"
29th,Jacob,Garcia,21.5,"[19.36, 21.43, 23.42, 20.89, 22.17]"
30th,Steven,Carpenter,21.57,"[19.45, 26.08, 21.51, 22.92, 20.29]"
31st,Daria,Buchkovsky,21.57,"[20.24, 22.16, 19.53, 22.31, 23.08]"
32nd,Robert,Andrews,21.58,"[20.16, 19.99, 23.36, 21.23, 23.37]"
33rd,Alexis,Valentine,21.6,"[20.07, 21.93, 23.84, 21.12, 21.74]"
34th,Scott,Bryant,21.64,"[20.42, 'DNF', 23.51, 19.6, 20.98]"
35th,James,Howard,21.68,"[19.62, 22.08, 25.71, 21.38, 21.59]"
36th,Tracy,Kelley,21.7,"[19.65, 'DNF', 22.81, 22.64, 18.76]"
37th,Wendy,Herrera,21.7,"[23.72, 19.67, 20.57, 24.42, 20.82]"
38th,Emerson,Tichenor,21.73,"[22.85, 20.97, 25.79, 16.58, 21.38]"
39th,Conor,Evans,21.81,"[18.65, 24.5, 21.58, 19.34, 26.98]"
