The Manchester Cubing Invitational
Top 32 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Kimberly,White,19.06,"[24.57, 19.54, 19.49, 18.15, 17.41]"
2nd,Antonio,Valencia,19.5,"[16.19, 18.34, 19.69, 20.46, 23.72]"
3rd,Jacob,Garcia,19.75,"[19.4, 19.14, 20.7, 21.53, 17.95]"
4th,Robert,Young,19.77,"[16.87, 24.12, 17.92, 24.16, 17.28]"
5th,Emerson,Tichenor,19.87,"[20.07, 18.51, 19.28, 20.27, 22.78]"
6th,Conor,Evans,19.91,"[21.5, 18.9, 21.1, 18.12, 19.74]"
7th,Andrew,Bradford,19.99,"[18.92, 20.17, 20.64, 21.07, 19.17]"
8th,Maggie,Silver,20.04,"[20.3, 16.37, 20.09, 21.81, 19.73]"
9th,Jason,Martin,20.14,"[18.42, 20.04, 18.17, 21.96, 22.42]"
10th,Sarah,Torres,20.35,"['DNF', 20.47, 18.09, 20.74, 19.83]"
11th,Bill,Meadows,20.43,"[20.2, 23.27, 20.17, 19.43, 20.92]"
12th,Kayla,Johnson,20.53,"[19.22, 21.86, 20.79, 21.17, 19.62]"
13th,Daria,Buchkovsky,20.6,"[20.15, 22.83, 18.82, 18.32, 22.89]"
14th,Julia,Lamb,20.71,"[22.3, 19.03, 20.54, 21.19, 20.39]"
15th,Eric,Graham,20.72,"[15.81, 23.31, 20.9, 19.9, 21.37]"
16th,Ryan,Stoyko,20.79,"[20.04, 20.4, 25.53, 21.94, 17.8]"
17th,Elizabeth,Williams,20.81,"[19.63, 21.94, 21.07, 21.3, 20.05]"
18th,Jeanette,King,20.88,"[24.22, 18.21, 19.63, 25.24, 18.8]"
19th,Scott,Bryant,20.9,"[20.12, 21.37, 21.1, 24.0, 20.23]"
20th,James,Howard,20.94,"[19.87, 25.65, 20.65, 19.74, 22.29]"
21st,Stephanie,Cain,21.07,"[16.22, 23.49, 17.59, 22.13, 23.68]"
22nd,Timothy,Mcconnell,21.13,"[20.81, 21.62, 25.79, 20.96, 19.91]"
23rd,Christopher,Kim,21.22,"[20.92, 21.56, 21.19, 20.65, 24.31]"
24th,Kimberly,Williams,21.34,"[20.63, 23.14, 18.76, 21.38, 22.0]"
25th,Robert,Andrews,21.39,"[20.53, 21.26, 'DNF', 19.23, 22.39]"
26th,Tanya,Lee,21.51,"[20.93, 15.42, 24.05, 22.35, 21.26]"
27th,Donald,Dixon,21.64,"[20.53, 21.42, 23.18, 22.97, 20.01]"
28th,Sarah,Underwood,21.64,"[25.32, 20.06, 22.42, 21.83, 20.67]"
29th,Michelle,Hart,21.66,"[18.92, 22.09, 21.84, 21.04, 24.35]"
30th,Alyssa,Murillo,21.67,"[22.02, 22.36, 19.99, 20.64, 23.93]"
31st,William,Hill,21.7,"[22.81, 24.76, 21.13, 20.18, 21.16]"
32nd,David,Long,21.72,"[24.31, 21.7, 22.23, 19.59, 21.22]"
33rd,Brett,Hill,21.78,"[17.01, 21.32, 22.99, 22.15, 21.87]"
34th,Mark,Williams,21.8,"[21.51, 22.42, 18.97, 'DNF', 21.47]"
35th,Sheila,Johnson,21.81,"[23.88, 18.55, 18.47, 23.01, 25.85]"
36th,George,Wright,21.82,"[21.77, 24.39, 21.25, 22.16, 21.54]"
37th,Alexis,Valentine,22.01,"[21.93, 19.68, 21.81, 22.3, 24.69]"
38th,Denise,Harrison,22.07,"[21.39, 23.72, 21.9, 20.11, 22.91]"
39th,Amanda,Davis,22.16,"[22.13, 20.49, 22.01, 22.34, 23.72]"
40th,David,Heath,22.17,"[22.76, 21.43, 19.39, 22.33, 24.26]"
41st,Clinton,Buck,22.48,"[23.19, 24.78, 22.37, 21.89, 17.3]"
42nd,Cheryl,Jackson,22.53,"[23.21, 21.87, 21.87, 23.32, 22.52]"
43rd,Henry,Hunter,22.65,"[22.05, 23.35, 24.76, 18.33, 22.55]"
44th,Michele,Cordova,22.74,"[24.43, 23.39, 21.62, 22.82, 22.0]"
45th,Steven,Carpenter,22.76,"[20.08, 22.06, 23.34, 22.88, 23.64]"
46th,Daniel,Mendoza,22.98,"[24.45, 21.84, 'DNF', 20.57, 22.66]"
47th,Jessica,Lane,22.99,"[22.24, 19.69, 'DNF', 23.53, 23.2]"
48th,Tammy,Powers,23.0,"[21.62, 21.05, 26.48, 24.17, 23.2]"
49th,Terrance,Fowler,23.0,"[22.78, 21.09, 22.31, 25.12, 23.9]"
50th,Tracy,Kelley,23.62,"[23.37, 26.66, 20.54, 26.26, 21.22]"
