The Japan Open in Tokyo
Best Single,14.33,Bradley Cross,Best AO5,15.74,Bradley Cross,"[14.33, 16.11, 16.05, 19.59, 15.07]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
1st,Robert,Andrews,19.92,16.46,18.84,"[16.46, 23.07, 18.58, 18.35, 19.6]",10,0
2nd,Bradley,Cross,18.33,14.33,15.74,"[14.33, 16.11, 16.05, 19.59, 15.07]",40,0
3rd,Eric,Graham,20.52,17.07,19.82,"[18.62, 20.55, 20.28, 23.63, 18.39]",15,0
4th,Antonio,Valencia,18.95,14.86,18.13,"[17.32, 16.9, 18.8, 19.82, 18.26]",30,0
5th,Stephanie,Cain,21.21,19.0,19.65,"[19.1, 23.8, 19.88, 19.43, 19.64]",15,0
6th,Tanya,Lee,20.04,15.21,19.2,"[19.41, 18.87, 19.33, 17.49, 23.33]",15,0
7th,Denise,Harrison,20.93,16.37,19.68,"[20.43, 19.2, 19.4, 19.11, 22.83]",30,0
8th,Maggie,Silver,19.61,17.27,18.45,"[19.1, 17.27, 18.28, 21.31, 17.98]",20,0
9th,Robert,Young,20.26,15.61,18.74,"[20.17, 15.61, 16.39, 19.66, 20.38]",25,0
10th,Bill,Meadows,21.14,16.41,19.7,"[17.68, 18.19, 21.46, 20.23, 20.69]",35,0
11th,Brett,Hill,20.42,16.57,19.15,"[19.81, 16.57, 17.93, 19.72, 20.8]",25,0
12th,Alyssa,Murillo,20.94,17.99,20.46,"[22.4, 20.23, 19.2, 20.48, 20.67]",15,0
13th,Scott,Bryant,21.46,18.49,20.33,"[20.82, 19.35, 20.82, 22.25, 18.49]",20,0
14th,Michelle,Hart,21.42,15.1,20.62,"[15.1, 23.66, 21.32, 21.46, 19.09]",20,0
15th,Donald,Dixon,20.84,17.8,20.23,"[20.7, 19.92, 20.59, 20.17, 17.8]",19,1
16th,Jacob,Garcia,20.43,15.09,19.37,"[15.09, 18.29, 18.24, 22.61, 21.58]",20,0
17th,Peter,King,21.53,18.44,20.71,"[18.44, 19.13, 22.5, 24.74, 20.5]",29,1
18th,Mark,Williams,21.46,18.7,20.91,"[19.69, 20.94, 18.93, 22.11, 22.46]",23,2
19th,David,Heath,21.06,18.1,20.06,"[21.08, 20.68, 19.98, 19.1, 19.52]",25,0
20th,Christopher,Kim,21.76,19.05,20.22,"[20.19, 19.9, 22.92, 19.89, 20.57]",30,0
21st,Amanda,Davis,21.27,18.36,20.32,"[19.79, 22.96, 21.06, 18.36, 20.12]",24,1
22nd,Tiffany,Dixon,21.48,17.75,21.09,"[17.75, 22.47, 18.05, 23.46, 22.75]",15,0
23rd,Daniel,Mendoza,21.65,18.94,20.47,"[19.72, 20.06, 23.22, 21.57, 19.77]",30,0
24th,Sarah,Underwood,21.92,17.33,20.73,"[17.33, 21.53, 19.88, 20.78, 24.65]",29,1
25th,Ryan,Stoyko,20.32,16.93,17.99,"[20.75, 18.36, 17.97, 16.93, 17.64]",20,0
26th,Elizabeth,Williams,20.93,17.85,19.45,"[18.07, 19.08, 19.21, 20.06, 21.04]",20,0
27th,David,Long,21.9,19.35,21.58,"[21.73, 24.57, 20.46, 22.56, 19.35]",20,0
28th,Daria,Buchkovsky,20.66,16.41,20.17,"[22.48, 23.88, 18.23, 16.41, 19.81]",22,3
29th,Nathaniel,White,21.15,15.77,20.15,"[20.48, 19.21, 19.33, 23.12, 20.63]",18,2
30th,Jason,Martin,21.05,17.15,19.52,"[19.41, 18.49, 20.14, 23.85, 19.01]",20,0
31st,Donald,Levy,22.19,18.84,21.68,"[20.16, 20.37, 21.51, 24.89, 23.15]",19,1
32nd,Cheryl,Jackson,20.31,16.45,18.82,"[20.16, 18.85, 17.49, 19.25, 18.36]",19,1
33rd,Kayla,Johnson,22.14,19.84,21.5,"[19.84, 24.12, 20.0, 21.12, 23.39]",13,2
34th,Lonnie,Green,22.37,17.17,21.5,"[23.78, 20.49, 24.93, 20.23, 17.17]",20,0
35th,Robin,Wells,21.62,15.4,21.41,"[20.68, 19.61, 23.95, 18.1, 24.2]",19,1
36th,Karen,Castro,21.38,17.17,20.66,"[17.17, 19.88, 23.19, 24.25, 18.92]",14,1
37th,Henry,Hunter,22.29,17.77,21.36,"[22.92, 21.86, 18.96, 19.29, 26.62]",15,0
38th,Julia,Lamb,21.58,19.9,21.35,"[22.89, 21.66, 21.17, 21.22, 19.9]",18,2
39th,Jared,Hahn,22.91,19.55,21.9,"[20.75, 26.96, 23.35, 21.59, 20.26]",20,0
40th,James,Wade,22.21,20.51,21.78,"[22.15, 21.08, 21.64, 21.56, 24.62]",12,3
41st,Clinton,Buck,21.32,18.84,20.85,"[23.64, 20.18, 19.02, 21.19, 21.18]",18,2
42nd,Karen,Hunter,22.03,18.5,21.31,"[21.28, 18.5, 22.53, 21.59, 21.07]",20,0
43rd,Tracy,Kelley,21.83,17.89,20.1,"[17.89, 18.05, 21.05, 21.19, 29.2]",20,0
44th,Christine,Hicks,22.06,18.68,21.36,"[22.3, 21.67, 21.83, 20.2, 20.59]",20,0
45th,Trevor,Benson,21.97,18.07,20.18,"[19.11, 19.48, 21.99, 20.16, 20.91]",20,0
46th,Michael,Brown,21.31,15.71,20.29,"[15.71, 20.99, 18.87, 21.02, 25.57]",15,0
47th,George,Wright,21.34,19.94,20.56,"[20.52, 20.66, 20.49, 20.15, 21.91]",20,0
48th,Emerson,Tichenor,21.69,17.3,19.7,"[20.18, 28.8, 18.64, 17.3, 20.28]",20,0
49th,Brittany,Carroll,22.72,20.5,22.41,"[22.41, 22.9, 21.85, 23.03, 21.92]",15,0
50th,Whitney,Nicholson,22.54,19.25,21.5,"[20.5, 19.25, 22.47, 21.52, 22.61]",15,0
51st,Chad,Thomas,22.03,19.03,21.5,"[21.41, 22.82, 23.01, 20.26, 19.03]",15,0
