The Berlin Cup Sponsored by GAN
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
1st,Tanya,Lee,16.67,"[16.68, 16.57, 16.77, 17.8, 13.89]"
2nd,Jacob,Garcia,18.92,"[17.63, 22.21, 20.63, 17.09, 18.51]"
3rd,Bradley,Cross,19.1,"[21.5, 17.58, 20.66, 18.61, 18.04]"
4th,Michael,Brown,19.11,"[16.54, 20.14, 19.43, 23.7, 17.77]"
5th,Daniel,Mendoza,19.23,"[18.81, 18.11, 20.4, 18.48, 20.96]"
6th,Peter,King,19.47,"[19.34, 19.93, 19.13, 18.46, 22.0]"
7th,Emerson,Tichenor,19.56,"[20.58, 19.04, 21.01, 19.06, 18.75]"
8th,Antonio,Valencia,19.95,"['DNF', 18.91, 20.51, 20.42, 18.88]"
9th,Cheryl,Jackson,19.98,"[22.49, 18.97, 21.88, 18.85, 19.1]"
10th,Jeanette,King,20.01,"[18.76, 22.34, 23.38, 18.92, 17.92]"
11th,Robert,Andrews,20.23,"[20.71, 19.21, 20.78, 19.08, 22.12]"
12th,David,Heath,20.3,"[17.4, 17.21, 22.15, 21.42, 22.07]"
13th,Mark,Williams,20.39,"[21.15, 19.62, 19.81, 20.2, 21.38]"
14th,David,Long,20.59,"[20.41, 20.99, 20.37, 19.49, 24.8]"
15th,Henry,Hunter,20.65,"[21.04, 23.98, 22.25, 17.59, 18.65]"
16th,Julia,Lamb,20.65,"[20.04, 19.75, 22.32, 20.06, 21.85]"
17th,Bill,Meadows,20.66,"[21.76, 19.94, 19.24, 22.65, 20.29]"
18th,Tracy,Kelley,20.7,"[18.07, 23.31, 21.84, 20.38, 19.87]"
19th,Ryan,Stoyko,20.81,"[18.74, 14.43, 21.61, 25.35, 22.08]"
20th,Stephanie,Cain,20.85,"[19.79, 22.4, 21.93, 18.58, 20.84]"
21st,Sarah,Underwood,20.88,"[23.1, 19.1, 20.44, 24.44, 18.85]"
22nd,Sheila,Johnson,20.92,"[21.02, 21.55, 20.68, 19.26, 21.07]"
23rd,Tammy,Powers,21.0,"[20.92, 21.35, 17.79, 20.73, 21.65]"
24th,Donald,Dixon,21.07,"[22.58, 19.67, 22.07, 20.02, 21.11]"
25th,Maggie,Silver,21.13,"[19.99, 21.63, 20.16, 21.61, 22.02]"
26th,Clinton,Buck,21.23,"[24.76, 18.85, 23.06, 17.89, 21.77]"
27th,Alexis,Valentine,21.31,"[23.08, 22.11, 24.5, 18.24, 18.74]"
28th,Brett,Hill,21.32,"[22.44, 21.43, 20.09, 18.07, 22.55]"
29th,Martha,Smith,21.37,"[20.98, 20.1, 22.53, 20.61, 25.34]"
30th,Alyssa,Murillo,21.48,"[20.62, 23.28, 20.53, 18.84, 25.22]"
31st,Andrew,Bradford,21.49,"[21.96, 20.79, 21.72, 20.16, 24.65]"
32nd,Jason,Martin,21.53,"[19.99, 22.15, 22.45, 18.08, 22.82]"
33rd,George,Wright,21.59,"[18.7, 21.84, 21.98, 20.95, 25.26]"
34th,Tiffany,Dixon,21.61,"[21.62, 18.37, 21.41, 22.53, 21.79]"
35th,Nathaniel,White,21.62,"[22.49, 20.24, 20.0, 22.63, 22.14]"
