NumEvents,5
Best Single,14.461,Connie Miller,Best AO5,21.381,Cadie Ross,"[22.383, 22.555, 19.213, 18.945, 22.547]"
First Name,Last Name,Age,Expected Time,Consistency,Best Placing,AVG Placing,Wins,Podiums,Best Single,Best AO5,Best AO5 Times
Emerson,Tichenor,24,0.0,0.0,1,85.8,1,1,20.214,22.71,"[23.0, 22.918, 27.414, 22.213, 20.852]"
Paige,Harris,21,29.876,4.24,45,131.0,0,0,21.685,27.866,"[28.866, 'DNF', 25.403, 23.59, 29.329]"
Roland,Spencer,29,35.268,4.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,Thomas,18,30.625,4.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy,Hamilton,20,33.618,4.4,165,165,0,0,27.944,30.923,"[36.484, 33.878, 28.244, 30.647, 27.944]"
Ned,Cole,21,33.736,4.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amelia,Douglas,26,34.25,4.37,146,146.0,0,0,32.163,34.093,"[35.516, 34.538, 32.163, 32.721, 35.019]"
Dominik,Mitchell,25,29.969,4.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amber,Wright,27,32.506,4.09,107,107.0,0,0,21.65,32.584,"[35.906, 39.108, 29.087, 32.758, 21.65]"
Valeria,Foster,25,30.776,3.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madaline,Wells,27,33.794,4.96,235,235.0,N/A,N/A,29.349,36.837,"[35.226, 29.349, 33.994, 41.901, 41.29]"
Ryan,Hamilton,26,30.005,4.24,422,422,0,0,26.744,35.429,"[26.744, 29.773, 40.938, 35.576, 'DNF']"
Maria,Brown,23,31.711,5.18,480,480,0,0,28.251,38.275,"[38.367, 'DNF', 28.826, 28.251, 47.633]"
Melissa,Harrison,19,31.101,4.48,108,110.33,0,0,26.088,29.827,"[29.619, 29.196, 'DNF', 30.665, 28.987]"
Albert,Andrews,20,35.444,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lucy,Gibson,22,32.727,4.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George,Phillips,18,33.254,3.91,203,335.0,0,0,26.764,31.614,"[35.804, 31.537, 27.5, 26.764, 37.432]"
Tyler,Morris,24,32.409,4.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fiona,Harper,26,33.004,4.8,324,324.0,0,0,31.031,33.137,"[37.634, 33.309, 31.031, 33.328, 32.774]"
Lana,Robinson,21,32.326,4.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Henry,Thompson,22,30.142,3.74,37,84.5,0,0,25.119,28.031,"[25.457, 28.269, 27.507, 28.318, 30.906]"
Julia,Wright,20,30.307,5.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Preston,Stewart,27,32.374,4.17,46,109.2,0,0,26.864,28.374,"[34.131, 28.107, 28.581, 28.433, 27.707]"
Lana,Mitchell,23,31.204,4.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adrianna,Spencer,24,35.186,4.58,183,244.4,0,0,30.616,36.124,"[31.93, 39.283, 38.297, 37.453, 32.621]"
Jessica,Chapman,27,29.924,4.67,203,203.0,0,0,22.282,31.214,"[30.664, 32.078, 33.788, 30.899, 22.282]"
Chloe,Crawford,20,34.211,4.68,158,217.2,0,0,27.16,34.402,"[43.751, 27.16, 33.595, 31.456, 38.155]"
Kelvin,Wright,23,31.492,4.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tiana,Harris,21,31.703,4.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miller,Cunningham,29,32.677,4.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carl,Adams,24,33.352,4.78,342,342.0,0,0,20.341,33.521,"[36.545, 33.836, 39.958, 30.182, 20.341]"
Marcus,Brooks,24,29.951,4.38,4,6.25,0,0,18.955,25.729,"[20.977, 18.955, 25.888, 30.321, 30.619]"
Victoria,Walker,20,33.439,5.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy,Williams,23,32.084,3.97,79,180.6,0,0,22.765,29.087,"[27.115, 28.544, 30.036, 'DNF', 28.681]"
Kelvin,Robinson,25,34.024,4.4,104,178.67,0,0,26.141,33.817,"[36.018, 37.119, 33.087, 28.986, 32.346]"
Kristian,Harrison,23,30.861,5.16,49,53.5,0,0,24.27,28.43,"[29.057, 27.528, 26.737, 35.194, 28.704]"
Adelaide,Murphy,26,30.351,4.95,91,91.0,N/A,N/A,30.2,31.247,"[36.268, 32.534, 30.2, 30.325, 30.883]"
Carina,Parker,20,31.346,3.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deanna,Ellis,30,34.565,4.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adelaide,Fowler,22,31.084,4.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ned,Watson,27,30.744,4.27,81,92.2,0,0,18.905,29.399,"[30.747, 25.57, 34.935, 31.88, 18.905]"
Adison,Owens,27,33.243,4.14,30,30.0,N/A,N/A,18.079,29.756,"[30.313, 29.299, 29.656, 30.601, 29.151]"
James,Miller,18,32.205,3.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julia,Roberts,19,30.438,4.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
