First Name,Last Name,Age,Expected Time,Consistency,Best Placing,AVG Placing,Wins,Podiums,Best Single,Best AO5,Best AO5 Times
Paige,Harris,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roland,Spencer,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,Thomas,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy,Hamilton,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ned,Cole,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amelia,Douglas,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominik,Mitchell,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amber,Wright,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valeria,Foster,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madaline,Wells,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan,Hamilton,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maria,Brown,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melissa,Harrison,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albert,Andrews,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lucy,Gibson,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George,Phillips,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler,Morris,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fiona,Harper,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lana,Robinson,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Henry,Thompson,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julia,Wright,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Preston,Stewart,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lana,Mitchell,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adrianna,Spencer,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jessica,Chapman,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chloe,Crawford,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kelvin,Wright,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tiana,Harris,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miller,Cunningham,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carl,Adams,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus,Brooks,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,Walker,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amy,Williams,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kelvin,Robinson,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kristian,Harrison,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adelaide,Murphy,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carina,Parker,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deanna,Ellis,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adelaide,Fowler,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ned,Watson,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adison,Owens,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James,Miller,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julia,Roberts,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sarah,Walker,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vincent,Wright,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan,Turner,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eleanor,Morrison,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elise,Hill,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steven,Dixon,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
